benchmark,original,nulgrind,callgrind,cfggrind,cfggrind-prof
500.perlbench,302,1697,15762,16781,17924
502.gcc,248,1053,8666,8525,8947
503.bwaves,802,5123,21643,21942,22470
505.mcf,306,993,6419,4872,5031
507.cactuBSSN,269,1609,2654,2422,2496
508.namd,256,1868,2950,2744,2778
510.parest,389,3774,13748,12687,12881
511.povray,405,3118,21165,17120,17842
519.lbm,236,1612,2145,1926,1951
520.omnetpp,384,1462,9696,9383,9732
521.wrf,832,4683,15171,13834,14211
523.xalancbmk,301,1163,10663,11071,11033
525.x264,385,1651,10653,10101,10215
526.blender,265,1659,8348,7200,7443
527.cam4,447,2638,11221,10917,11196
531.deepsjeng,284,1095,10824,9845,10259
538.imagick,1030,5009,19562,16973,17435
541.leela,462,1532,14660,11476,12103
544.nab,393,1981,7402,6593,6791
548.exchange2,490,1853,17343,15848,16521
549.fotonik3d,388,1889,3079,2854,2942
554.roms,377,2897,7923,7318,7467
557.xz,319,1024,7573,6484,6760
600.perlbench,303,1711,15877,16916,18167
602.gcc,442,1895,16265,15342,16132
603.bwaves,3412,58203,422178,358122,373170
605.mcf,601,2000,12290,9376,10019
607.cactuBSSN,680,13674,27211,20168,20988
619.lbm,1246,5325,8303,6034,6258
620.omnetpp,380,1375,9442,9001,9551
621.wrf,1193,30276,109213,79556,83793
623.xalancbmk,308,1170,10703,11015,11142
625.x264,391,1661,10652,10113,10232
627.cam4,775,15358,80198,74916,79302
628.pop2,818,27854,111984,102904,108212
631.deepsjeng,337,1283,12694,11748,12382
638.imagick,3068,90852,255653,234030,240532
641.leela,465,1538,14636,11578,12036
644.nab,813,20771,77855,70423,72131
648.exchange2,491,1856,18205,16099,17409
649.fotonik3d,886,5707,10464,10170,10711
654.roms,1902,24531,71748,66534,69053
657.xz,821,5479,32582,27904,29017
