benchmark,original,nulgrind,callgrind,bftrace,dcfg,cfggrind-noprof,cfggrind-prof
automotive_bitcount,4.03,21.24,224.68,218.96,570.63,178.70,182.71
automotive_qsort1,3.95,25.74,249.21,319.87,1641.04,228.71,230.45
automotive_susan_c,4.15,12.22,48.84,58.19,633.20,39.68,40.04
automotive_susan_e,3.95,15.35,64.65,73.03,648.53,54.54,54.66
automotive_susan_s,3.92,18.24,92.48,98.05,621.55,138.50,140.48
bzip2d,4.49,12.36,76.75,86.65,448.94,72.35,73.25
bzip2e,3.48,13.41,79.29,85.82,480.15,67.05,67.85
consumer_jpeg_c,6.79,18.73,133.05,151.10,868.79,112.41,113.97
consumer_jpeg_d,15.41,28.89,92.72,109.36,1015.49,85.30,86.18
consumer_lame,6.74,44.82,141.35,308.56,605.95,131.36,132.90
consumer_mad,7.13,17.96,82.80,93.11,703.35,71.73,72.57
consumer_tiff2bw,7.88,25.27,178.74,190.28,1426.02,176.41,178.68
consumer_tiff2rgba,15.37,33.01,158.76,185.62,1423.96,168.10,170.54
consumer_tiffdither,6.32,19.73,167.45,198.69,536.62,149.92,150.82
consumer_tiffmedian,6.37,24.24,148.56,160.79,1488.10,128.12,130.07
network_dijkstra,3.63,12.35,111.80,122.87,516.71,117.02,117.54
network_patricia,1.95,9.53,90.80,173.64,467.51,111.01,114.47
office_ghostscript,4.25,27.94,250.46,345.04,1071.88,206.47,211.98
office_ispell,6.55,30.78,244.54,302.91,1025.25,207.38,205.79
office_rsynth,3.28,11.95,26.95,56.91,155.39,24.43,24.51
office_stringsearch1,4.20,47.41,197.87,193.53,540.31,144.94,147.75
security_blowfish_d,7.36,17.94,75.41,74.82,701.11,58.72,59.03
security_blowfish_e,7.42,18.17,75.27,74.89,697.17,77.94,77.95
security_pgp_d,20.32,25.72,119.59,144.03,1702.60,112.86,115.32
security_pgp_e,9.48,25.30,129.76,129.48,1288.52,102.12,102.93
security_rijndael_d,14.09,32.36,152.19,192.34,1921.38,128.25,131.94
security_rijndael_e,13.96,32.31,161.09,211.51,1615.07,140.73,142.80
security_sha,6.70,19.00,111.06,115.12,1341.26,97.39,97.51
telecom_CRC32,3.92,20.14,214.75,217.41,2202.40,187.65,189.45
telecom_adpcm_c,2.61,14.54,122.92,126.00,291.20,111.21,111.01
telecom_adpcm_d,4.49,25.06,188.53,189.09,470.90,176.61,174.27
telecom_gsm,4.38,16.18,89.11,95.77,633.51,87.76,88.65
